,Question,Answer
811,What are violins made of?,"maple, ebony, sheep gut"
812,How long have people been making instruments like violins?,since ancient times
813,How long have people been making instruments like violins?,since 1555
814,Whate is the usual pitch range of a violin?,from G3 to C8
815,Whate is the usual pitch range of a violin?,from G3 to C8
816,Are xylophone bars made of rosewood?,yes
817,Is the xylophone a precursor to the vibraphone?,yes
818,Were ancient mallets made of copper?,no
819,Where did the xylophone originate?,Indonesia
820,What is the earliest historical reference in Europe?,Arnold Schlick's Spiegel der Orgelmacher und Organisten
821,How are western-style xylophones characterised?,"by a bright, sharp tone and high register"
822,Can a xylophone be 3 octaves?,yes
823,Can a short bar follow a long bar?,no
824,Did vibraphones exist in 1930?,yes
0,Was Abraham Lincoln the sixteenth President of the United States?,yes
1,Was Abraham Lincoln the sixteenth President of the United States?,Yes.
2,Did Lincoln sign the National Banking Act of 1863?,yes
3,Did Lincoln sign the National Banking Act of 1863?,Yes.
4,Did his mother die of pneumonia?,no
5,Did his mother die of pneumonia?,No.
6,How many long was Lincoln's formal education?,18 months
7,How many long was Lincoln's formal education?,18 months.
8,When did Lincoln begin his political career?,1832
9,When did Lincoln begin his political career?,1832.
10,What did The Legal Tender Act of 1862 establish?,"the United States Note, the first paper currency in United States history"
11,What did The Legal Tender Act of 1862 establish?,"The United States Note, the first paper currency in United States history."
12,Who suggested Lincoln grow a beard?,11-year-old Grace Bedell
13,Who suggested Lincoln grow a beard?,Grace Bedell.
14,When did the Gettysburg address argue that America was born?,1776
15,When did the Gettysburg address argue that America was born?,1776.
16,Did Lincoln beat John C. Breckinridge in the 1860 election?,yes
17,Did Lincoln beat John C. Breckinridge in the 1860 election?,Yes.
18,Was Abraham Lincoln the first President of the United States?,No
19,Was Abraham Lincoln the first President of the United States?,No
20,Did Lincoln start his political career in 1832?,Yes
21,Did Lincoln start his political career in 1832?,Yes
22,Did Lincoln ever represent Alton & Sangamon Railroad?,Yes
23,Did Lincoln ever represent Alton & Sangamon Railroad?,Yes
24,Which county was Lincoln born in?,Hardin County
25,Which county was Lincoln born in?,"Southeast Hardin County, Kentucky"
26,When did Lincoln first serve as President?,"March 4, 1861"
27,When did Lincoln first serve as President?,"March 4, 1861"
28,Who assassinated Lincoln?,John Wilkes Booth
29,Who assassinated Lincoln?,John Wilkes Booth
30,Did Lincoln win the election of 1860?,Yes
31,Did Lincoln win the election of 1860?,Yes
32,Who was the general in charge at the Battle of Antietam?,General McClellan
33,Who was the general in charge at the Battle of Antietam?,John Alexander McClernand
34,Why did Lincoln issue the Emancipation Proclamation?,To free slaves 
35,Why did Lincoln issue the Emancipation Proclamation?,"The goal was to weaken the rebellion, which was led and controlled by slave owners."
37,Do scholars rank lincoln among the top three presidents?,Yes
39,Did lincoln have 18 months of schooling?,Yes
41,Was Lincoln chosen as a presidential candidate in 1860?,Yes
43,How old was Lincoln in 1816?,seven
45,When was the first photgraph of lincoln taken?,1846
47,How long was Lincoln's legal Career?,23 years
49,What trail did Lincoln use a Farmers' Almanac in? ,"he defended William ""Duff"" Armstrong"
51,Did Abraham Lincoln live in the Frontier?,Yes
53,Did Lincoln's Wife's Family support slavery?,Yes
80,Who is most noted for his contributions to the theory of molarity and molecular weight?,Amedeo Avogadro
83,Who graduated in ecclesiastical law at the early age of 20 and began to practice?,Amedeo Avogadro
84,Who graduated in ecclesiastical law at the early age of 20 and began to practice?,blah
86,When did he publish another memoria?,1821
89,When did he become a professor?,1820
92,Is it true that he became a professor in 1820?,yes
95,Was Lorenzo Romano Amedeo Carlo Avogadro an Italian savant?,yes
98,"Was Amedeo Avogadro born in Turin August 9th 1776 to a noble ancient family of Piedmont, Italy?",yes
101,Is he most noted for his contributions to the theory of molarity and molecular weight?,yes
115,Was King Victor Emmanuel III there to pay homage to Avogadro ?,yes
118,Is Avogadro 's number commonly used to compute the results of chemical reactions ?,yes
123,Did the scientific community not reserve great attention to his theory ?,yes
128,Was King Victor Emmanuel III there to pay homage to Avogadro ?,yes
131,Can the title of this famous 1811 paper be roughly translated into english?,yes
136,What happened in 1833?,Avogadro had been recalled to Turin university
138,What happened in 1833?,blah blah blah
139,Who determined the dependence of the boiling of water with atmospheric pressure?,Anders Celsius
140,What is named after him?,The Celsius crater on the Moon
141,When did he publish a collection?,1733
142,Is it true that he published a collection in 1738?,No
143,Is it true that thermometer had 100 for the freezing point?,Yes
144,Was Celsius born in Uppsala in Sweden?,Yes
145,"Was Anders Celsius (November 27, 1701 April 25, 1744) a Swedish astronomer?",Yes
146,Is The Celsius crater on the Moon named after him?,Yes
147,Who was the first to perform and publish careful experiments aiming at the definition of an international temperature scale on scientific grounds ?,Anders Celsius
148,The Celsius crater on the Moon is what?,named after him
149,Is the Celsius crater on the Moon named after him ?,Yes
150,Had his thermometer 100 for the freezing point of water and 0 for the boiling point ?,Yes it had
151,Was Celsius born in Uppsala in Sweden ?,Yes
152,Is the Celsius crater on the Moon named after him ?,Yes
153,Did he not determine the dependence of the boiling of water with atmospheric pressure -LRB- in excellent agreement with modern data -RRB- ?,Yes he did
154,What happened from 1730 to 1744?,He was professor of astronomy at Uppsala University
155,What happened in 1745?,The scale was reversed
156,Are beetles insects?,Yes
157,Are beetles insects?,Yes
158,Can beetles be found in polar regions?,No
159,Can beetles be found in polar regions?,No
160,Do beetles antennae function primarily as organs of smell?,Yes
161,Do beetles antennae function primarily as organs of smell?,Yes
162,What are the three sections of a beetle?,"the head, the thorax, and the abdomen"
163,What are the three sections of a beetle?,"The head, the thorax, and the abdomen"
164,Which defense mechanism uses colour or shape to deceive potential enemies?,mimicry
165,Which defense mechanism uses colour or shape to deceive potential enemies?,Mimicry
166,Which type of beetle is a pest of potato plants?,Colorado potato beetle
167,Which type of beetle is a pest of potato plants?,Colorado potato beetle
168,How can beetle larvae be differentiated from other insect larvae?,"their hardened, often darkened head, the presence of chewing mouthparts, and spiracles along the sides of the body"
169,How can beetle larvae be differentiated from other insect larvae?,"By their hardened, often darkened head, the presence of chewing mouthparts, and spiracles along the sides of the body"
170,What do beetles eat?,"Some are generalists, eating both plants and animals. Other beetles are highly specialised in their diet."
171,What do beetles eat?,"They often feed on plants and fungi, break down animal and plant debris, and eat other invertebrates"
172,What are the similarities between beetles and grasshoppers?,mouthparts
173,What are the similarities between beetles and grasshoppers?,Beetles have mouthparts similar to those of grasshoppers
174,Are certain species of beetles considered pests?,Yes
175,Are certain species of beetles considered pests?,yes
176,Is a beetle's general anatomy uniform?,Yes
177,Is a beetle's general anatomy uniform?,yes
178,Are beetles endopterygotes?,yes
179,Are beetles endopterygotes?,yes
180,How many species of beetles are there?,"350,000"
181,How many species of beetles are there?,"about 350,000"
182,When are sperm cells transferred to the female?,during pairing
183,When are sperm cells transferred to the female?,During pairing
184,What is the study of beetles called?,coleopterology
185,What is the study of beetles called?,coleopterology
186,"Is it possible that there are more than 350,000 species of beetles?",yes
187,"Is it possible that there are more than 350,000 species of beetles?",yes
188,Is the Adephaga suborder larger than the Polyphaga suborder?,no
189,Is the Adephaga suborder larger than the Polyphaga suborder?,yes
190,Do carrion beetles eat dung?,no
191,Do carrion beetles eat dung?,no
192,What are prey of various animals including birds and mammals?,Beetles.
193,What was given by Aristotle for the hardened shield like forewings?,"The name ""Coleoptera""."
194,Who or what vary greatly in form within the coleoptera?,Antennae.
195,Are many beetles territorial?,Yes.
196,Are beetles endopterygotes with complete metamorphosis?,Yes.
197,Oxygen is what?,One kind of gas obtained via a tracheal system.
198,Is there a thriving industry in the collection of beetle specimens for amateur and professional collectors ?,Yes.
199,Have coleopterists formed organisations to facilitate the study of beetles ?,Yes.
